Assembly Competition,System Assembly - SciApp Blast Integration,30018283,3309,10118,"<p><a href=""http://apps.topcoder.com/wiki/display/docs/SciApp+Blast+Integration"">http://apps.topcoder.com/wiki/display/docs/SciApp+Blast+Integration</a></p>","<p><a href=""http://apps.topcoder.com/wiki/display/docs/SciApp+Blast+Integration"">http://apps.topcoder.com/wiki/display/docs/SciApp+Blast+Integration</a></p>.1",30000412,30000471,Unnamed: 9,0,Unnamed: 11,2012-01-16T09:53:00.000-05:00,2012-01-18T09:53:00.000-05:00,Unnamed: 14,2012-01-21T09:58:00.000-05:00,Unnamed: 16,Unnamed: 17,http://apps.topcoder.com/forums/?module=Category&categoryID=10118,2012-01-25T04:41:00.000-05:00,Cancelled - Failed Review,720,develop,https://www.topcoder.com/direct/contest/detail.action?projectId=30018283,Java,"[1600, 800]",Post-Mortem,-200270132,2012-01-26T04:42:00.000-05:00,Unnamed: 29,3434,2012 TopCoder(R) Open,tco12
Assembly Competition,Module Assembly - Morpheus Status Manager Database Migration PL-SQL Scripts 1,30023382,3692,10782,"<p><a href=""http://apps.topcoder.com/wiki/display/docs/Module+Assembly+-+Morpheus+Status+Manager+Database+Migration+PL-SQL+Scripts"">http://apps.topcoder.com/wiki/display/docs/Module+Assembly+-+Morpheus+Status+Manager+Database+Migration+PL-SQL+Scripts</a></p>","<p><a href=""http://apps.topcoder.com/wiki/display/docs/Module+Assembly+-+Morpheus+Status+Manager+Database+Migration+PL-SQL+Scripts"">http://apps.topcoder.com/wiki/display/docs/Module+Assembly+-+Morpheus+Status+Manager+Database+Migration+PL-SQL+Scripts</a></p>",30000412,30000471,0.0,0,0.0,2012-02-28T05:00:00.000-05:00,2012-03-01T05:00:00.000-05:00,0.0,2012-03-04T05:05:00.000-05:00,0.0,0.0,http://apps.topcoder.com/forums/?module=Category&categoryID=10782,2012-03-07T10:20:00.000-05:00,Completed,450.0,develop,https://www.topcoder.com/direct/contest/detail.action?projectId=30023382,Oracle 10gPL/SQL,"[1000, 500]",Stalled,0,0,0.0,3434.0,2012 TopCoder(R) Open,tco12
Assembly Competition,Release Assembly - Morpheus Status Manager Web Services Update 2,30023385,3692,10784,"<p><a href=""http://apps.topcoder.com/wiki/display/docs/Release+Assembly+-+Morpheus+Status+Manager+Web+Services+Update+2"">http://apps.topcoder.com/wiki/display/docs/Release+Assembly+-+Morpheus+Status+Manager+Web+Services+Update+2</a></p>","<p><a href=""http://apps.topcoder.com/wiki/display/docs/Release+Assembly+-+Morpheus+Status+Manager+Web+Services+Update+2"">http://apps.topcoder.com/wiki/display/docs/Release+Assembly+-+Morpheus+Status+Manager+Web+Services+Update+2</a></p>",30000412,30000471,0.0,0,0.0,2012-03-20T18:00:00.000-04:00,2012-03-23T18:00:00.000-04:00,0.0,2012-03-26T18:06:00.000-04:00,0.0,0.0,http://apps.topcoder.com/forums/?module=Category&categoryID=10784,2012-03-30T17:28:00.000-04:00,Completed,720.0,develop,https://www.topcoder.com/direct/contest/detail.action?projectId=30023385,JavaOracle 10gWeb ServicesXML,"[1600, 800]",Stalled,0,0,0.0,3434.0,2012 TopCoder(R) Open,tco12
UI Prototype Competition,TopCoder Cockpit Project Dashboard Project Milestones Management Prototype,30023416,3475,10798,"<p>Check the detailed requirements here: <a href=""http://apps.topcoder.com/wiki/display/docs/TopCoder+Cockpit+Project+Dashboard+Project+Milestones+Management+Prototype"">Requirements Specification</a></p>","<p>Check the detailed requirements here:&nbsp;<a href=""http://apps.topcoder.com/wiki/display/docs/TopCoder+Cockpit+Project+Dashboard+Project+Milestones+Management+Prototype"">Requirements Specification</a></p>",30000591,30000681,0.0,0,0.0,2012-01-26T19:01:00.000-05:00,2012-01-28T19:01:00.000-05:00,0.0,2012-01-31T19:06:00.000-05:00,0.0,0.0,http://apps.topcoder.com/forums/?module=Category&categoryID=10798,2012-02-04T04:10:00.000-05:00,Completed,450.0,develop,https://www.topcoder.com/direct/contest/detail.action?projectId=30023416,CSSHTMLJSONJavaScript,"[1000, 500]",Stalled,0,0,0.0,3434.0,2012 TopCoder(R) Open,tco12
Assembly Competition,Module Assembly - TC Cockpit Project Milestones Service Integration and Testing,30023417,3475,10799,"<p>&nbsp;See requirement specification detail here : &nbsp;<a href=""http://apps.topcoder.com/wiki/display/docs/Module+Assembly+-+TC+Cockpit+Project+Milestones+Service+Integration+and+Testing"">Requirements Specification</a></p>","<p>&nbsp;See requirement specification detail here : &nbsp;<a href=""http://apps.topcoder.com/wiki/display/docs/Module+Assembly+-+TC+Cockpit+Project+Milestones+Service+Integration+and+Testing"">Requirements Specification</a></p>",30000412,30000471,0.0,0,0.0,2012-02-05T12:54:00.000-05:00,2012-02-07T12:54:00.000-05:00,0.0,2012-02-10T12:59:00.000-05:00,0.0,0.0,http://apps.topcoder.com/forums/?module=Category&categoryID=10799,2012-02-14T05:02:00.000-05:00,Completed,450.0,develop,https://www.topcoder.com/direct/contest/detail.action?projectId=30023417,EJB 3HibernateJSONJSPJavaJavaScriptServletSpringStruts,"[1000, 500]",Stalled,0,0,0.0,3434.0,2012 TopCoder(R) Open,tco12
Assembly Competition,Module Assembly - TC Cockpit Project Overview Project General Info,30023419,3475,10801,"<p>Check the requirements specification here: <a href=""http://apps.topcoder.com/wiki/display/docs/Module+Assembly+-+TC+Cockpit+Project+Overview+Project+General+Info"">Requirements Specification</a></p>","<p>Check the requirements specification here:&nbsp;<a href=""http://apps.topcoder.com/wiki/display/docs/Module+Assembly+-+TC+Cockpit+Project+Overview+Project+General+Info"">Requirements Specification</a></p>",30000412,30000471,0.0,0,0.0,2012-01-16T23:44:00.000-05:00,2012-01-18T23:44:00.000-05:00,0.0,2012-01-20T23:49:00.000-05:00,0.0,0.0,http://apps.topcoder.com/forums/?module=Category&categoryID=10801,2012-01-23T23:11:00.000-05:00,Completed,360.0,develop,https://www.topcoder.com/direct/contest/detail.action?projectId=30023419,EJBJSPJavaJavaScriptServletSpring,"[800, 400]",Stalled,0,0,0.0,3434.0,2012 TopCoder(R) Open,tco12
Assembly Competition,Module Assembly  - TC Cockpit Project Milestones Management Front End,30023422,3475,10815,"<p>Check the requirements specification here: <a href=""http://apps.topcoder.com/wiki/display/docs/Module+Assembly+-+TC+Cockpit+Project+Milestones+Management+Front+End"">&nbsp;Requirements Specification</a></p>","<p>Check the requirements specification here:&nbsp;<a href=""http://apps.topcoder.com/wiki/display/docs/Module+Assembly+-+TC+Cockpit+Project+Milestones+Management+Front+End"">&nbsp;Requirements Specification</a></p>",30000412,30000471,0.0,0,0.0,2012-02-23T21:00:00.000-05:00,2012-02-25T21:00:00.000-05:00,0.0,2012-02-29T21:05:00.000-05:00,0.0,0.0,http://apps.topcoder.com/forums/?module=Category&categoryID=10815,2012-03-04T16:45:00.000-05:00,Completed,810.0,develop,https://www.topcoder.com/direct/contest/detail.action?projectId=30023422,CSSEJB 3HTMLJSPJavaJavaScriptServletStruts,"[1800, 900]",Stalled,0,0,0.0,3434.0,2012 TopCoder(R) Open,tco12
Test Suites,Styx Data Integrity Utility Test Cases,30023516,3667,10868,"<p><a href=""http://apps.topcoder.com/wiki/display/docs/Styx+-+Data+Integrity+Utility+Test+Cases"">http://apps.topcoder.com/wiki/display/docs/Styx+-+Data+Integrity+Utility+Test+Cases</a></p>","<p><a href=""http://apps.topcoder.com/wiki/display/docs/Styx+-+Data+Integrity+Utility+Test+Cases"">http://apps.topcoder.com/wiki/display/docs/Styx+-+Data+Integrity+Utility+Test+Cases</a></p>",30000120,30000124,0.0,0,0.0,2012-01-03T07:00:00.000-05:00,2012-01-05T10:14:00.000-05:00,0.0,2012-01-08T07:05:00.000-05:00,0.0,0.0,http://apps.topcoder.com/forums/?module=Category&categoryID=10868,2012-01-12T07:05:00.000-05:00,Cancelled - Zero Submissions,292.5,develop,https://www.topcoder.com/direct/contest/detail.action?projectId=30023516,C++,"[650, 325]",Post-Mortem,-201730342,2012-01-09T07:06:00.000-05:00,0.0,3434.0,2012 TopCoder(R) Open,tco12
Assembly Competition,Module Assembly - InSPIRE Zero Robotics Collab Editor Update,30023645,3452,10919,"<p><a href=""http://apps.topcoder.com/wiki/display/docs/InSPIRE+Zero+Robotics+Collab+Editor+Update+Assembly"">http://apps.topcoder.com/wiki/display/docs/InSPIRE+Zero+Robotics+Collab+Editor+Update+Assembly</a></p>","<p><a href=""http://apps.topcoder.com/wiki/display/docs/InSPIRE+Zero+Robotics+Collab+Editor+Update+Assembly"">http://apps.topcoder.com/wiki/display/docs/InSPIRE+Zero+Robotics+Collab+Editor+Update+Assembly</a></p>",30000412,30000471,0.0,0,0.0,2012-08-05T09:08:00.000-04:00,2012-08-08T05:35:00.000-04:00,0.0,2012-08-12T09:15:00.000-04:00,0.0,0.0,http://apps.topcoder.com/forums/?module=Category&categoryID=10919,2012-08-15T16:02:00.000-04:00,Completed,900.0,develop,https://www.topcoder.com/direct/contest/detail.action?projectId=30023645,JavaJavaScript,"[2000, 1000]",Final Fix,-182598985,2012-08-17T17:22:00.000-04:00,0.0,3436.0,2013 TopCoder(R) Open,tco13
Test Scenarios,Morpheus Status Manager Test Scenarios  2,30023802,3692,11000,"<p>The client of this application has a business where the client receives cases from customers. These cases will be assigned to client's financial advisors and a case notification is created in client's existing application for tracking purpose. Advisors are responsible for handling the cases.&nbsp; After handling the cases, advisors will update the status of the case work at their business office.&nbsp; Thus based on case work completeness, the company CSR will update the status of the cases by updating case notification in the application. The existing application which the client uses is a third party vendor application called Status Manager(SM) Tool.&nbsp; The SM tool provides a single view of client current business status.&nbsp; It provides a set of following functionalities:</p>
<p>- &nbsp;&nbsp;&nbsp; Provides an API to create/update/retrieve/search case notifications<br /> - &nbsp;&nbsp;&nbsp; Provides an API to create/update/ retrieve/delete custom views of case notifications<br /> - &nbsp;&nbsp;&nbsp; Capturing alert emails send to financial advisors from&nbsp; business groups(users from client's internal applications)<br /> - &nbsp;&nbsp;&nbsp; Provides an API to define new notification types (email templates) to be used for creating case notifications in the application.<br /> - &nbsp;&nbsp;&nbsp; Provides a way to communicate on status of a case work in the form of notes to and from integrated applications.<br /> - &nbsp;&nbsp;&nbsp; Provide emailing facility on predefined set of events.<br /> - &nbsp;&nbsp;&nbsp; Provides a way to add email text to case notification body.</p>
<p>The goal of this project is rebuild the Status manager application from scratch which is flexible, easy to configure, reliable, presents rich user interface and nicely integrates with client's existing internal applications.</p>","<p>Please refer to the ARS and the <strong>prototype</strong> here <a href=""http://apps.topcoder.com/wiki/display/docs/Morpheus+Status+Manager+Submissions"">http://apps.topcoder.com/wiki/display/docs/Morpheus+Status+Manager+Submissions</a>. This contest will focus on use cases involving the Advisor, Advisor Assistant and CSR roles.</p>",30000440,30000310,0.0,0,0.0,2011-12-28T07:27:00.000-05:00,2011-12-30T07:27:00.000-05:00,0.0,2012-01-02T07:32:00.000-05:00,0.0,0.0,http://apps.topcoder.com/forums/?module=Category&categoryID=11000,2012-01-05T21:49:00.000-05:00,Completed,270.0,develop,https://www.topcoder.com/direct/contest/detail.action?projectId=30023802,HTMLJavaJavaScript,"[600, 300]",Stalled,0,0,0.0,3434.0,2012 TopCoder(R) Open,tco12
UI Prototype Competition,Soteria Subscription Service - Admin Front End UI Prototype,30023832,3879,11012,"<p><a href=""http://apps.topcoder.com/wiki/display/~semi_sleep/Soteria+Subscription+Service+-+Admin+Front+End+UI+Prototype"">http://apps.topcoder.com/wiki/display/~semi_sleep/Soteria+Subscription+Service+-+Admin+Front+End+UI+Prototype</a></p>","<p><a href=""http://apps.topcoder.com/wiki/display/~semi_sleep/Soteria+Subscription+Service+-+Admin+Front+End+UI+Prototype"">http://apps.topcoder.com/wiki/display/~semi_sleep/Soteria+Subscription+Service+-+Admin+Front+End+UI+Prototype</a></p>",30000591,30000681,0.0,0,0.0,2012-03-22T00:00:00.000-04:00,2012-03-25T00:00:00.000-04:00,0.0,2012-03-28T00:06:00.000-04:00,0.0,0.0,http://apps.topcoder.com/forums/?module=Category&categoryID=11012,2012-03-30T07:52:00.000-04:00,Completed,405.0,develop,https://www.topcoder.com/direct/contest/detail.action?projectId=30023832,.NET 4.0C#CSSHTMLJavaScript,"[900, 450]",Stalled,0,0,0.0,3434.0,2012 TopCoder(R) Open,tco12
Architecture,Soteria Subscription Service Admin Front End Architecture,30023833,3879,11013,"<p>Soteria has a number of applications and website that provide their own subscription and delivery services, each implemented slightly different than the others. This project is to create a centralized set of subscription and delivery services for the existing applications and sites. The goal of this application is to:</p>
<p>1) Provide subscription services to the existing applications.<br />2) Provide delivery services.<br />3) Create an admin webapp, for managing subscriptions and deliveries.<br />4) Create an end to end demo (mock consuming application) of the services.&nbsp;</p>
<table>
<tr>
<td>&nbsp;</td>
<td><strong>Tips for success</strong><br />
<ul style=""margin-top: 2px; margin-right: 0px; margin-bottom: 2px; margin-left: 10px; padding-top: 0px; padding-right: 3em; padding-bottom: 0px; padding-left: 10px;"">
<li>Asking questions early and getting the client's feedback is very important for the success of this architecture competition.</li>
</ul>
</td>
</tr>
</table>","<p>Please see the wiki -&nbsp;<a href=""http://apps.topcoder.com/wiki/display/docs/Soteria+Subscription+Service+Admin+Front+End+Architecture"">http://apps.topcoder.com/wiki/display/docs/Soteria+Subscription+Service+Admin+Front+End+Architecture</a></p>",30000401,30000660,0.0,0,0.0,2012-03-27T15:38:00.000-04:00,2012-03-30T15:38:00.000-04:00,0.0,2012-04-02T15:44:00.000-04:00,0.0,0.0,http://apps.topcoder.com/forums/?module=Category&categoryID=11013,2012-04-06T14:33:00.000-04:00,Completed,810.0,develop,https://www.topcoder.com/direct/contest/detail.action?projectId=30023833,.NET 4.0C#SQL Server 2008Windows Communication FoundationWindows Server,"[1800, 900]",Stalled,0,0,0.0,3434.0,2012 TopCoder(R) Open,tco12
Assembly Competition,Module Assembly - BCMS iPad Application - Contacts and Settings and Miscellaneous Assembly,30023865,3732,11042,"<p>We are looking for a solution for key teams within our company to keep critical services working in the event of a major disaster (ranging from major technical infrastructure failures to fires and other local environmental disasters). The Business Continuity Mobility Solution should allow us to manage at least three key functions:</p>
<ul style=""margin-top: 2px; margin-right: 0px; margin-bottom: 2px; margin-left: 10px; padding-top: 0px; padding-right: 3em; padding-bottom: 0px; padding-left: 10px; color: #333333; font-family: Arial, Helvetica, Verdana, sans-serif; line-height: 16px; text-align: left;"">
<li>Incident alert and notification</li>
<li>Contact information</li>
<li>Business continuity plans and checklists</li>
</ul>
<p><br />This contest will implement a shared Singleton and the controllers and screens for contacts, settings, convene rooms, and additional miscellaneous details..</p>
<p>&nbsp;</p>","<p>Please see the wiki -&nbsp;<a href=""http://apps.topcoder.com/wiki/display/docs/BCMS+iPad+Application+-+Contacts+and+Settings+and+Miscellaneous+Assembly"">http://apps.topcoder.com/wiki/display/docs/BCMS+iPad+Application+-+Contacts+and+Settings+and+Miscellaneous+Assembly</a></p>",30000412,30000471,0.0,0,0.0,2012-01-17T11:46:00.000-05:00,2012-01-22T11:46:00.000-05:00,0.0,2012-01-25T11:51:00.000-05:00,0.0,0.0,http://apps.topcoder.com/forums/?module=Category&categoryID=11042,2012-01-29T11:51:00.000-05:00,Cancelled - Zero Submissions,1260.0,develop,https://www.topcoder.com/direct/contest/detail.action?projectId=30023865,JSONObjective CiOS 4.0iOS 5.0,"[2800, 1400]",Post-Mortem,-200244396,2012-01-26T11:52:00.000-05:00,0.0,3434.0,2012 TopCoder(R) Open,tco12
Assembly Competition,Module Assembly - BCMS iPad Application - Incidents Assembly,30023866,3732,11043,"<p>We are looking for a solution for key teams within our company to keep critical services working in the event of a major disaster (ranging from major technical infrastructure failures to fires and other local environmental disasters). The Business Continuity Mobility Solution should allow us to manage at least three key functions:</p>
<ul style=""margin-top: 2px; margin-right: 0px; margin-bottom: 2px; margin-left: 10px; padding-top: 0px; padding-right: 3em; padding-bottom: 0px; padding-left: 10px; color: #333333; font-family: Arial, Helvetica, Verdana, sans-serif; line-height: 16px; text-align: left;"">
<li>Incident alert and notification</li>
<li>Contact information</li>
<li>Business continuity plans and checklists</li>
</ul>
<p><br />This contest will implement the necessary functionality for viewing, editing, and adding incidents.</p>
<p>&nbsp;</p>","<p>Please see the wiki -&nbsp;<a href=""http://apps.topcoder.com/wiki/display/docs/BCMS+iPad+Application+-+Incidents+Assembly"">http://apps.topcoder.com/wiki/display/docs/BCMS+iPad+Application+-+Incidents+Assembly</a></p>",30000412,30000471,0.0,0,0.0,2012-01-17T12:03:00.000-05:00,2012-01-21T12:03:00.000-05:00,0.0,2012-01-26T12:08:00.000-05:00,0.0,0.0,http://apps.topcoder.com/forums/?module=Category&categoryID=11043,2012-01-30T04:08:00.000-05:00,Completed,1260.0,develop,https://www.topcoder.com/direct/contest/detail.action?projectId=30023866,JSONObjective CiOS 4.0iOS 5.0,"[2800, 1400]",Stalled,0,0,0.0,3434.0,2012 TopCoder(R) Open,tco12
